fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.047703,4.72834,4.31878,0.060065,19.7727,27.7861,19.8086,0.017531,
0.043861,3.58404,5.21388,0.05336,30.1298,19.877,21.1575,0.014318,
0.043023,4.49548,4.65996,0.05336,34.6883,30.2333,32.6869,0.014248,
0.042185,4.31222,5.35929,0.04889,28.1035,34.7867,28.4886,0.016692,
0.056293,4.64055,4.11722,0.05322,12.008,28.221,27.2398,0.016134,
0.043792,4.56959,5.71326,0.049658,10.4739,12.1094,28.3029,0.016273,
0.044,3.36047,4.3646,0.05336,14.1041,10.5784,20.1135,0.016133,
0.043791,3.49429,4.23553,0.049658,15.5663,14.2047,30.7237,0.015435,
0.081087,3.617,5.23414,0.090795,29.8295,15.7463,35.2694,0.020394,
0.043722,3.33107,4.57147,0.054408,16.6968,29.9361,28.7438,0.040858,
0.044909,3.25236,4.37647,0.053429,22.7799,16.8023,12.644,0.015994,
0.071938,4.70145,4.97265,0.073195,25.6006,22.9332,10.8311,0.019067,
0.077805,3.49059,4.57245,0.065093,22.2917,25.7506,14.7544,0.018648,
0.043093,4.71765,4.2092,0.064464,29.8086,22.4068,16.2913,0.015645,
0.042464,3.50169,4.52258,0.049588,24.3266,29.9082,30.4681,0.014108,
0.061043,3.40629,5.17337,0.061042,18.3263,24.4555,17.3262,0.016203,
0.044001,3.58362,3.24474,0.055245,18.8832,18.4332,23.4924,0.015994,
0.04414,4.72596,4.47125,0.05329,26.5899,18.9868,26.2893,0.03974,
0.078712,3.63893,5.60437,0.076408,35.0631,26.7521,22.663,0.01774,
0.040858,4.80691,4.99667,0.051335,18.6843,35.163,30.4182,0.015854,
0.045537,3.32129,4.38045,0.058318,28.4356,18.7956,25.0348,0.016273,
0.056223,3.62776,4.37927,0.058039,23.3079,28.556,18.9439,0.018508,
0.060065,3.91956,5.29881,0.058598,22.8328,23.4343,19.5186,0.016274,
0.059366,3.26926,5.08684,0.061043,26.2863,22.9618,27.2588,0.020045,
0.064884,1.59388,2.07467,0.056782,23.7577,26.4161,35.6723,0.04449,
0.084999,2.18705,2.03759,0.080598,35.1308,23.93,19.0551,0.02207,
0.058598,3.08865,2.06133,0.059576,26.706,35.2562,29.0711,0.017949,
0.059017,4.47886,4.98256,0.059087,36.8671,26.8317,24.0194,0.020394,
0.041277,3.58166,4.60674,0.050845,21.1715,36.9655,23.6047,0.016134,
0.04009,3.52293,4.56239,0.054756,22.9753,21.274,27.1858,0.014527,
0.041347,2.32443,3.44959,0.052522,21.1977,23.0782,24.645,0.016763,
0.064884,4.35824,4.74734,0.066699,18.3413,21.3378,35.7885,0.053849,
0.063417,3.42543,4.4116,0.068306,23.1761,18.4813,27.4971,0.017531,
0.058668,1.57656,1.99777,0.059157,22.7371,23.3011,37.4572,0.019137,
0.042813,3.77562,5.15738,0.054826,30.7656,22.8428,21.966,0.0176,
0.059227,4.21688,5.06854,0.060135,36.2387,30.8921,23.6798,0.018508,
0.059087,4.98641,4.02174,0.058877,32.1288,36.3639,22.0125,0.0176,
0.056433,3.68021,4.4637,0.061252,21.5746,32.2538,19.1104,0.016762,
0.059575,3.70808,4.77108,0.055246,28.0999,21.6977,23.8002,0.019346,
0.043442,4.16156,2.26346,0.058668,25.1381,28.2088,23.5037,0.037645,
0.040997,3.54961,4.78512,0.050985,23.2516,25.2363,31.5808,0.018648,
0.041487,3.44386,5.41098,0.054338,27.1678,23.3549,36.922,0.016833,
0.043512,2.44065,3.98151,0.055036,23.5453,27.2731,32.8712,0.016134,
0.058947,3.63076,4.60597,0.049938,33.9226,23.6612,22.2006,0.018159,
0.042953,3.45574,5.06302,0.05322,22.7811,34.0273,28.8528,0.016204,
0.045398,3.97921,6.04536,0.052871,29.0916,22.8875,25.8791,0.018019,
0.045817,5.15892,4.15675,0.048889,28.481,29.1954,23.9739,0.034782,
0.043582,1.60519,2.13627,0.052801,31.3515,28.5851,27.9049,0.016902,
0.050635,4.13754,5.28994,0.065792,30.8121,31.4755,24.2957,0.047493,
0.048611,3.41851,4.41824,0.061531,23.2842,30.9303,34.635,0.016622,
0.083322,3.81235,4.7634,0.065163,23.3612,23.4394,23.5363,0.018718,
0.04442,3.35803,4.61317,0.050426,25.8559,23.4637,29.82,0.016203,
0.046376,3.47376,4.56581,0.054338,22.277,25.9641,29.2621,0.046236,
